date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:06:52	121/121	---M--	200	added ('OK')	text/plain	date:Wed,%2002%20Apr%202008%2005:33:07%20GMT	https://www.diccionario-medico.com.ar/robots.txt		(from )
00:06:53	39700/39700	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:51%20GMT	https://www.diccionario-medico.com.ar/	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/index.html	(from )
00:06:53	9755/9755	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202013%2015:30:15%20GMT	https://www.diccionario-medico.com.ar/stylesheet.css	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/stylesheet.css	(from https://www.diccionario-medico.com.ar/)
00:06:55	28762/28762	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:53%20GMT	https://www.diccionario-medico.com.ar/letraa-c-762.html	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/letraa-c-762.html	(from https://www.diccionario-medico.com.ar/)
00:06:56	28279/28279	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:53%20GMT	https://www.diccionario-medico.com.ar/letrab-c-763.html	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/letrab-c-763.html	(from https://www.diccionario-medico.com.ar/)
00:06:57	28700/28700	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:55%20GMT	https://www.diccionario-medico.com.ar/letrac-c-764.html	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/letrac-c-764.html	(from https://www.diccionario-medico.com.ar/)
00:06:58	28402/28402	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:55%20GMT	https://www.diccionario-medico.com.ar/letrad-c-765.html	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/letrad-c-765.html	(from https://www.diccionario-medico.com.ar/)
00:06:59	28693/28693	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:56%20GMT	https://www.diccionario-medico.com.ar/letrae-c-766.html	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/letrae-c-766.html	(from https://www.diccionario-medico.com.ar/)
00:07:00	27706/27706	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:58%20GMT	https://www.diccionario-medico.com.ar/letraf-c-767.html	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/letraf-c-767.html	(from https://www.diccionario-medico.com.ar/)
00:07:01	28265/28265	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:58%20GMT	https://www.diccionario-medico.com.ar/letrag-c-768.html	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/letrag-c-768.html	(from https://www.diccionario-medico.com.ar/)
00:07:02	28426/28426	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2006:06:59%20GMT	https://www.diccionario-medico.com.ar/letrah-c-769.html	/home/m0rniac/Desktop/HTML/DICTIONARY/www.diccionario-medico.com.ar/letrah-c-769.html	(from https://www.diccionario-medico.com.ar/)
